size,files
1265.0,587
1266.0,652
1267.0,927
1268.0,338
1269.0,784
1270.0,198
1271.0,929
1272.0,1028
1273.0,1168
1274.0,1465
1275.0,1032
1276.0,889
1277.0,610
1278.0,811
1279.0,271
1280.0,288
1281.0,314
1282.0,251
1283.0,1112
1284.0,675
1285.0,275
1286.0,121
1287.0,597
1288.0,383
1289.0,261
1290.0,265
1291.0,204
1292.0,216
1293.0,105
1294.0,186
1295.0,156
1296.0,393
1297.0,738
1298.0,1620
1299.0,793
1300.0,1484
1301.0,806
1302.0,2560
1303.0,1610
1304.0,2144
1305.0,928
1306.0,3902
1307.0,598
1308.0,534
1309.0,211
1310.0,169
1311.0,144
1312.0,332
1313.0,357
1314.0,268
1315.0,77
1316.0,231
1317.0,355
1318.0,67
1319.0,292
1320.0,313
1321.0,133
1322.0,198
1323.0,444
1324.0,184
1325.0,1456
1326.0,584
1327.0,562
1328.0,1387
1329.0,791
1330.0,440
1331.0,319
1332.0,288
1333.0,309
1334.0,346
1335.0,148
1336.0,183
1337.0,647
1338.0,126
1339.0,301
1340.0,293
1341.0,283
1342.0,579
1343.0,498
1344.0,405
1345.0,153
1346.0,321
1347.0,925
1348.0,479
1349.0,735
1350.0,403
1351.0,160
1352.0,262
1353.0,395
1354.0,347
1355.0,286
1356.0,985
1357.0,185
1358.0,406
1359.0,137
1360.0,216
1361.0,955
1362.0,1132
1363.0,203
1364.0,455
1365.0,206
1366.0,265
1367.0,249
1368.0,141
1369.0,478
1370.0,94
1371.0,235
1372.0,503
1373.0,737
1374.0,176
1375.0,941
1376.0,548
1377.0,295
1378.0,314
1379.0,156
1380.0,1056
1381.0,1676
1382.0,659
1383.0,717
1384.0,608
1385.0,491
1386.0,658
1387.0,586
1388.0,1525
1389.0,2057
1390.0,558
1391.0,1510
1392.0,694
1393.0,1972
1394.0,812
1395.0,2050
1396.0,1774
1397.0,1081
1398.0,1841
1399.0,1603
1400.0,1746
1401.0,1375
1402.0,1008
1403.0,1314
1404.0,849
1405.0,779
1406.0,1009
1407.0,754
1408.0,257
1409.0,947
1410.0,581
1411.0,655
1412.0,570
1413.0,1033
1414.0,355
1415.0,155
1416.0,183
1417.0,116
1418.0,308
1419.0,631
1420.0,706
1421.0,218
1422.0,346
1423.0,1114
1424.0,3002
1425.0,1920
1426.0,834
1427.0,780
1428.0,619
1429.0,891
1430.0,1071
1431.0,1607
1432.0,1515
1433.0,526
1434.0,982
1435.0,294
1436.0,365
1437.0,226
1438.0,1841
1439.0,1861
1440.0,1016
1441.0,1738
1442.0,1727
1443.0,1533
1444.0,477
1445.0,765
1446.0,749
1447.0,972
1448.0,1721
1449.0,1303
1450.0,482
1451.0,213
1452.0,1264
1453.0,1847
1454.0,233
1455.0,384
1456.0,1321
1457.0,2622
1458.0,1781
1459.0,521
1460.0,226
1461.0,229
1462.0,2317
1463.0,1743
1464.0,286
1465.0,714
1466.0,1700
1467.0,867
1468.0,512
1469.0,693
1470.0,156
1471.0,94
1472.0,673
1473.0,87
1474.0,478
1475.0,734
1476.0,1847
1477.0,374
1478.0,1301
1479.0,1735
1480.0,2363
1481.0,1391
1482.0,115
1483.0,1645
1484.0,1527
1485.0,3003
1486.0,170
1487.0,1018
1488.0,3347
1489.0,1889
1490.0,727
1491.0,2922
1492.0,627
1493.0,1236
1494.0,1531
1495.0,847
1496.0,1198
1497.0,446
1498.0,837
1499.0,77
1500.0,381
1501.0,546
1502.0,276
1503.0,482
1504.0,141
1505.0,542
1506.0,812
