extension,files,repositories,avg_size,std_size
.bpel,10290,156,3840.7602526724936,7792.67423482804
.bp,3257,109,14699.094565551117,85180.3966740914
.box,3772,385,37593.3915694592,358483.69965227362
.bowerrc,87987,74327,44.796015320445129,45.201127659675826
.bottom,986,532,6742.9878296146053,18392.893155656209
.bot,581,221,41759.998278829647,161361.30182338084
.bos,1765,58,55008.533144475892,595735.79337793984
.borland,510,487,3741.3921568627461,5050.0402965905005
.bor,4118,1961,7108.6299174356473,27936.873763798918
.bootstrap,1351,681,1036.680236861584,3559.6769054240203
.boot,747406,15498,309.56166260372504,12888.541067167413
.bookmarks,1508,1099,97.8110079575597,2928.5757543550408
.book,1077,531,15498.006499535744,78206.8214303391
.boo,50214,321,871.1179153224225,4393.9081959002779
.bones,1099,34,3009.4103730664256,4225.82026634191
.bond,1750,51,898.01657142857152,2832.1426164977356
.bom,652,205,28391.273006134961,111914.10255363789
.bohr,540,65,13001.068518518519,34585.631406276312
.body,3075,505,11670.035121951234,208784.33964364463
.bodies,4757,29,3388.253100693712,6393.4774416051114
.bob,860,58,5215.6639534883716,50540.389216275078
.board,7248,1429,1792.3929359823389,15608.901304826915
.boa,729,20,1000.6803840877915,4800.2288922831312
.bnf,13512,6007,1851.5970248667827,10107.634186214689
.bndrun,1342,144,1288.3621460506711,1652.1977801839903
.bnd,12109,1065,978.52828474688158,3771.2215689172572
.bmx,1419,215,5357.4256518675129,13879.176566099526
.bmpr,723,419,905397.127247581,3977931.9384886906
.bmp,928720,41151,143992.80129533171,904372.02077878
.bmml,3815,535,13473.741022280476,24573.287211100516
.bml,2837,57,44286.475854776196,291190.15746117604
.bmk,540,53,548.74259259259247,3952.7864128067558
.bmfc,590,150,3997.0203389830522,10372.465926276924
.bmd,5636,50,44742.999822569189,192003.12086778553
.bm,4915,286,10056.819328585936,111926.91727284279
.blueprint,2239,32,1783.1397945511392,2665.1748162683266
.bluej,1609,223,1751.0546923554991,2302.2148479153948
.blp,8366,97,47434.121802534042,211638.75283715004
.blocks,871,108,26771.45809414468,642771.902118473
.block,3577,667,30457.210511601894,636730.542646677
.blob,941,422,287991.40701381519,2662076.5116578825
.blm,642,28,97013.705607476644,1474955.9261349738
.blk,10128,159,22146.941153238531,646615.87086233764
.blif,4458,53,172763.637505608,2093267.9134228812
.blg,2263,1306,1904.6345558992527,15337.034284272459
.blend2,895,288,1193527.7016759762,1991711.9731054581
.blend1,5777,1223,1900944.4533494902,5623646.8795676213
.blend,37429,4433,1857846.0465414508,5511796.8477962241
.bld,2438,369,9309.58695652175,134207.61065886385
.blast,5505,46,75642.368755676624,971730.75268756214
.blank,690,375,495.21159420289825,4151.9371796948517
.blah,605,583,2722.5983471074378,3945.7051182011292
.blacklist,1059,524,6651.3116147308765,145535.40810707016
.bl,1630,54,49739.139877300549,134063.84972651739
.bky,1362,100,6679.3362701908964,16298.7475240822
.bks,917,490,12534.706652126499,59205.00863775835
.bkr,860,26,169001.65232558129,996084.2066407653
.bkp,1514,558,225797.75297225898,2812023.9237965997
.bkl,2791,317,4617.1623074166992,10337.376266216961
.bk,3243,1730,177164.10052420618,1564753.2957159353
.bjo,1371,11,11745.13493800146,29265.732459928029
.bitmap,539,173,92059.931354359884,174095.11457750766
.bithoundrc,1574,1515,591.47649301143611,534.74766561494835
.bit,5634,619,1447335.8388356443,3774649.77623803
.biom,62592,134,42462.86017382412,743781.12248173647
.bio,535,19,47098.052336448571,506800.42252525076
.binlog,1164,239,638.83161512027482,2620.1473511754079
.binfmt,13836,13778,6770.9911824226629,412.55070956166168
.bind,637,171,3128.5541601255868,4429.1477219723247
.binarymesh,1293,17,96917.334880123773,466234.39706337225
.binary,3492,1078,647817.7365406641,5549724.1991825877
.bin/wscat,4042,3309,469.82582879762481,1399.0298048287525
.bin/window-size,3198,2060,92.262038774233915,139.33833365811776
.bin/win-spawn,592,480,95.451013513513516,107.90741926597445
.bin/which,14044,7811,81.3879948732555,144.52574907845215
.bin/weinre,837,809,96.0800477897252,180.00276325895376
.bin/webpack-dev-server,518,482,249.07335907335911,1045.4176617272947
