repo_name,paths,package_avg,imports_avg
google/devx-tools,17,6.5294117647058822,12.352941176470589
kindlyops/mappamundi,17,4.6470588235294112,9.0588235294117645
remkop/picocli,273,3.4432234432234434,9.8498168498168486
Geforce132/SecurityCraft,273,10.402930402930407,16.893772893772891
skylot/jadx,785,5.15541401273885,8.7656050955414013
google/framework-for-osdu,785,5.1464968152866231,8.2343949044586
GoogleCloudPlatform/healthcare,18,5.3333333333333321,12.333333333333332
tateisu/SubwayTooter,18,4.6111111111111107,8.7222222222222214
neo4j/docker-neo4j,18,6.5,12.611111111111111
markgw/pimlico,18,6.0555555555555554,9.9444444444444446
wso2/analytics-solutions,18,10.111111111111111,17.111111111111114
ghewgill/neon-lang,18,2.1666666666666665,3.0555555555555554
scalameta/scalameta,18,1.1666666666666667,3.8888888888888884
mndarren/Code-Lib,18,2.0555555555555554,2.8888888888888888
drumonii/LeagueTrollBuild,274,7.1021897810218979,9.9379562043795637
CognizantOneDevOps/Insights,274,5.397810218978103,9.9233576642335777
JetBrains/jdk8u_jdk,14866,3.2915377371182584,5.888470334992598
simondlevy/hackflight,19,2.8947368421052628,6.7894736842105257
gpac/gpac,19,6.8421052631578956,13.842105263157894
CodeforLeipzig/lvz-viz,19,8.31578947368421,11.736842105263158
wordpress-mobile/WordPress-FluxC-Android,275,7.4872727272727291,15.26181818181818
jnidzwetzki/bboxdb,531,6.1845574387947266,10.807909604519775
GluuFederation/oxTrust,531,7.7175141242937881,12.015065913370996
immutables/immutables,1043,3.8619367209971234,6.7372962607861986
etomica/etomica,2579,5.9775106630476937,9.8984102365257822
exponentjs/exponent,3347,5.8192411114430866,10.446071108455341
fastlane/fastlane,20,4.35,5.95
Softmotions/ejdb,20,3.35,6.45
BrightSpots/rcv,20,6.2,13.700000000000001
osisoft/Qi-Samples,20,3.45,6.6000000000000005
DLR-SC/tigl,20,1.4500000000000002,2.7
TommyLemon/APIJSON,276,5.3985507246376816,9.8804347826086953
seven332/EhViewer,276,7.9637681159420275,13.362318840579711
c2mon/c2mon,1044,6.3524904214559417,9.2672413793103434
