repo_name,extension,extensions_num,files,repositories,avg_size,capped_avg_file,std_size,capped_std_file
tensorflow/tfjs,.py,1,38,1,17341.105263157893,15898.578947368427,38520.34000143895,30044.495487779794
tensorflow/tfjs,.sh,1,47,1,1575.9999999999998,1575.9999999999998,1392.9967383463172,1392.9967383463172
tensorflow/tfx,.py,1,377,1,4480.352785145888,4480.352785145888,4962.775217214115,4962.775217214115
tensorflow/tfx,.sh,1,13,1,2036.7692307692307,2036.7692307692307,1038.112722993522,1038.112722993522
tensorflow/tpu,.go,1,43,1,5238.906976744185,5238.906976744185,3791.2004306586527,3791.2004306586527
tensorflow/tpu,.py,1,283,1,9650.57243816254,9650.57243816254,8554.412707926569,8554.412707926569
tensorflow/tpu,.sh,1,3,1,6511.666666666666,6511.666666666666,3730.902884468226,3730.902884468226
tensorflow/transform,.py,1,89,1,13854.438202247187,13854.438202247187,22611.72689263605,22611.72689263605
tenstream/tenstream,.c,1,5,1,7817.6,7817.6,10012.784492837143,10012.784492837143
tenstream/tenstream,.py,1,16,1,7125.187499999999,7125.187499999999,5068.31793555153,5068.31793555153
tenstream/tenstream,.sh,1,8,1,2338.5,2338.5,3287.0571727828,3287.0571727828
tentone/nunuStudio,.bat,1,2,1,25.5,25.5,16.263455967290593,16.263455967290593
tentone/nunuStudio,.cs,1,8,1,1870.375,1870.375,1548.6643957663282,1548.6643957663282
tentone/nunuStudio,.js,1,515,1,45666.68737864073,13362.277669902915,335686.56729370786,31425.960827143066
teo-tsirpanis/Farkle,.cs,1,2,1,3502.5,3502.5,3449.973985409165,3449.973985409165
teo-tsirpanis/Farkle,.sh,1,1,1,330.0,330.0,,
teracow/googliser,.sh,1,3,1,37409.66666666666,37409.66666666666,56888.49321552939,56888.49321552939
terascope/teraslice,.js,1,256,1,3217.1914062499995,3217.1914062499995,5696.891595378525,5696.891595378525
terascope/teraslice,.py,1,6,1,247.8333333333333,247.8333333333333,130.3816193589674,130.3816193589674
terascope/teraslice,.sh,1,8,1,1846.75,1846.75,1392.2138331243725,1392.2138331243725
terascope/teraslice,.tpl,1,2,1,657.5,657.5,41.719300090006314,41.719300090006314
terlar/emacs.d,.go,1,2,1,49.5,49.5,12.020815280171306,12.020815280171306
terlar/emacs.d,.java,1,2,1,176.0,176.0,42.42640687119285,42.42640687119285
terlar/emacs.d,.sh,1,1,1,105.0,105.0,,
terraform-providers/terraform-provider-aws,.c,1,2,1,1135.5,1135.5,95.45941546018395,95.45941546018395
terraform-providers/terraform-provider-aws,.go,1,5052,1,20982.725851148065,13264.283650039575,105320.79381318383,31946.071994183534
terraform-providers/terraform-provider-aws,.js,1,3,1,222.66666666666663,222.66666666666663,71.5914333795136,71.5914333795136
terraform-providers/terraform-provider-aws,.py,1,1,1,107.0,107.0,,
terraform-providers/terraform-provider-aws,.rb,1,2,1,8001.0,8001.0,0.0,0.0
terraform-providers/terraform-provider-aws,.s,1,55,1,3620.6,3620.6,5371.895801642442,5371.895801642442
terraform-providers/terraform-provider-aws,.sh,1,28,1,2481.5714285714284,2481.5714285714284,4084.1696416010523,4084.1696416010523
terraform-providers/terraform-provider-google,.c,1,2,1,1135.5,1135.5,95.45941546018395,95.45941546018395
terraform-providers/terraform-provider-google,.go,1,3522,1,16533.878194207824,10872.126348665539,142419.57064280278,25492.766528766435
terraform-providers/terraform-provider-google,.js,1,5,1,384.2,384.2,164.98393861221763,164.98393861221763
terraform-providers/terraform-provider-google,.rb,1,2,1,8001.0,8001.0,0.0,0.0
terraform-providers/terraform-provider-google,.s,1,52,1,3371.4999999999995,3371.4999999999995,5222.819055103569,5222.819055103569
terraform-providers/terraform-provider-google,.sh,1,38,1,2164.4999999999995,2164.4999999999995,3567.5761076371987,3567.5761076371987
terrafx/terrafx,.cs,1,129,1,5856.224806201549,5856.224806201549,9914.850235442535,9914.850235442535
terrafx/terrafx,.sh,1,6,1,1342.1666666666665,1342.1666666666665,2090.317814751304,2090.317814751304
terrestris/BasiGX,.js,1,228,1,6787.72807017544,6787.72807017544,10083.543111815556,10083.543111815556
terrestris/BasiGX,.rb,1,1,1,56.0,56.0,,
terrestris/BasiGX,.sh,1,2,1,2107.5,2107.5,1550.6851711420984,1550.6851711420984
tesseract-ocr/tesseract,.c,1,1,1,7177.0,7177.0,,
tesseract-ocr/tesseract,.cc,1,63,1,8214.761904761906,8214.761904761906,7779.413614426976,7779.413614426976
tesseract-ocr/tesseract,.cpp,1,275,1,19469.847272727275,19103.28363636365,27966.96952386604,24957.554618000893
tesseract-ocr/tesseract,.java,1,13,1,5702.615384615385,5702.615384615385,6544.816097982452,6544.816097982452
tesseract-ocr/tesseract,.py,1,4,1,17299.5,17299.5,17757.19273045902,17757.19273045902
tesseract-ocr/tesseract,.sh,1,5,1,13242.4,13242.4,14594.984765322642,14594.984765322642
testcontainers/testcontainers-java,.bat,1,3,1,2172.0,2172.0,1250.6154484892627,1250.6154484892627
testcontainers/testcontainers-java,.groovy,1,12,1,1107.75,1107.75,870.2266293119492,870.2266293119492
testcontainers/testcontainers-java,.java,1,383,1,2835.5535248041774,2835.5535248041774,4272.4554212204575,4272.4554212204575
testcontainers/testcontainers-java,.sh,1,4,1,156.75,156.75,98.42213504424026,98.42213504424026
testingrequired/tf,.js,1,6,1,320.33333333333337,320.33333333333337,154.40552667138138,154.40552667138138
tetherless-world/satoru,.bat,1,1,1,1049.0,1049.0,,
tetherless-world/satoru,.java,1,1,1,1520.0,1520.0,,
tetherless-world/satoru,.js,1,802,1,28147.311720698242,17791.68703241895,107497.69700793627,39297.52499394516
tetherless-world/satoru,.py,1,155,1,2226.232258064516,2226.232258064516,5738.577634778609,5738.577634778609
tetherless-world/satoru,.sh,1,16,1,609.75,609.75,687.5125695820645,687.5125695820645
teto/home,.c,1,1,1,7183.0,7183.0,,
teto/home,.hs,1,2,1,1114.0,1114.0,1514.6227253015848,1514.6227253015848
teto/home,.js,1,1,1,1763.0,1763.0,,
teto/home,.lua,1,15,1,8931.4,8931.4,10167.434792372303,10167.434792372303
teto/home,.py,1,24,1,9612.5,9612.5,13572.183467922783,13572.183467922783
teto/home,.sh,1,30,1,2079.6,2079.6,5046.34840050807,5046.34840050807
texta-tk/texta,.js,1,47,1,32434.297872340423,30776.34042553192,48911.71128228409,41707.140801523594
texta-tk/texta,.py,1,254,1,2895.8740157480306,2895.8740157480306,4928.202010790958,4928.202010790958
texta-tk/texta,.sh,1,2,1,2084.0,2084.0,2819.941843371952,2819.941843371952
textpattern/textpattern,.js,1,11,1,45258.0,39046.63636363637,76015.67208280145,57920.95913962878
textpattern/textpattern,.php,1,174,1,11845.189655172417,11845.189655172417,23226.874368728597,23226.874368728597
textpattern/textpattern,.sh,1,7,1,789.7142857142856,789.7142857142856,758.9061677365464,758.9061677365464
textpattern/textpattern-forum,.js,1,2,1,8523.0,8523.0,2.8284271247461903,2.8284271247461903
textpattern/textpattern-forum,.php,1,15,1,5108.133333333333,5108.133333333333,4824.61289145367,4824.61289145367
textpattern/textpattern-forum,.tpl,1,5,1,9307.6,9307.6,3683.4062089321615,3683.4062089321615
tgalal/yowsup,.py,1,352,1,1902.6164772727268,1902.6164772727268,4576.533097703062,4576.533097703062
tgbugs/pyontutils,.js,1,1,1,702.0,702.0,,
tgbugs/pyontutils,.lua,1,2,1,4149.0,4149.0,4344.464063610148,4344.464063610148
tgbugs/pyontutils,.py,1,168,1,11425.255952380958,11425.255952380958,20195.271295987262,20195.271295987262
tgbugs/pyontutils,.sh,1,3,1,2139.0,2139.0,871.6903119801206,871.6903119801206
