first_repo_name,second_repo_name,joint_commits
Discordius/Lesswrong2,Discordius/Telescope,1363
Discordius/Telescope,Discordius/Lesswrong2,1363
mistercrunch/airflow,apache/incubator-airflow,341
apache/incubator-airflow,apache/airflow,341
apache/airflow,apache/incubator-airflow,341
apache/incubator-airflow,mistercrunch/airflow,341
RasaHQ/rasa_core,RasaHQ/rasa_nlu,1109
RasaHQ/rasa_nlu,RasaHQ/rasa_core,1109
Xmetalfanx/linuxscripts,Xmetalfanx/linuxSetup,342
Xmetalfanx/linuxSetup,Xmetalfanx/linuxscripts,342
mzmine/mzmine2,mzmine/mzmine3,1110
mzmine/mzmine3,mzmine/mzmine2,1110
ntfreak/openocd,sysprogs/openocd,343
scmrtos/openocd-scmrtos,sysprogs/openocd,343
sysprogs/openocd,scmrtos/openocd-scmrtos,343
sysprogs/openocd,olerem/openocd,343
olerem/openocd,sysprogs/openocd,343
sysprogs/openocd,ntfreak/openocd,343
jerryzhujian9/ezmisc,jerryzhujian9/zmisc,344
jerryzhujian9/zmisc,jerryzhujian9/ezmisc,344
vmihailenco/pg,go-pg/pg,345
scmrtos/openocd-scmrtos,olerem/openocd,345
maidsafe/safe_client_libs,maidsafe/maidsafe_client,345
olerem/openocd,scmrtos/openocd-scmrtos,345
maidsafe/maidsafe_client,maidsafe/safe_client_libs,345
ntfreak/openocd,scmrtos/openocd-scmrtos,345
go-pg/pg,vmihailenco/pg,345
csdms/pymt,csdms/coupling,345
scmrtos/openocd-scmrtos,ntfreak/openocd,345
csdms/coupling,csdms/pymt,345
DualSpark/rusoto,rusoto/rusoto,601
davidmerfield/Blot-core,davidmerfield/Blot,601
rusoto/rusoto,DualSpark/rusoto,601
davidmerfield/Blot,davidmerfield/Blot-core,601
OpenSID/OpenSID,eddieridwan/OpenSID,346
eddieridwan/OpenSID,OpenSID/OpenSID,346
react-tools/react-table,tannerlinsley/react-table,347
tannerlinsley/react-table,react-tools/react-table,347
radum/webapp-boilerplate,radum/webapp-boilerplate-webpack,603
radum/webapp-boilerplate-webpack,radum/webapp-boilerplate,603
mavam/vast,vast-io/vast,604
vast-io/vast,mavam/vast,604
nolimits4web/Framework7,framework7io/Framework7,604
framework7io/Framework7,nolimits4web/Framework7,604
ENG-SYSTEMS/Kob-Eye,MAN-IN-WAN/Kob-Eye,605
zstackorg/zstack,zstackio/zstack,605
MAN-IN-WAN/Kob-Eye,ENG-SYSTEMS/Kob-Eye,605
zstackio/zstack,zstackorg/zstack,605
eriksl/esp8266-universal-io-bridge,eriksl/esp8266-basic-bridge,350
