id,repository,status,tfdd_date,tfdd_commit
177,kohana/kohana,Non-surviving,2014-04-24 11:41:30,061589b33f3475c738a7b416e050a0e30f11fb45
178,mongodb/mongo-python-driver,Surviving,2010-09-29 12:45:28,f67ee733b3e08250682368cb89953a62a7313785
179,NaturalNode/natural,Non-surviving,2016-03-12 08:11:55,799004d90ba6d8baa29350a96d98a1d73155bb1e
180,petergoldstein/dalli,Non-surviving,2014-11-03 19:16:37,f4f8c13aa14c95677bd9d82fd398c344c877a00f
181,adamfisk/LittleProxy,Non-surviving,2014-10-24 13:24:33,e6825f2aafd7639ad7a328f919518d71340ed75b
182,welaika/wordless,Non-surviving,2013-06-12 06:06:29,4f627dd348fd19821d0ceb622d559a0df3fcd7c4
183,KnpLabs/php-github-api,Surviving,2013-04-01 04:38:45,8eafe2ec512a0cbcdf5accc85f6a8cf01df787a2
184,zurb/foundation-sites,Non-surviving,2016-03-31 21:32:17,a004a04d9df076870188d13b04d561c5507eecb3
185,prawnpdf/prawn,Non-surviving,2015-09-02 21:48:30,24d6fc426805f78f99f27afee61292014e815141
186,reactphp/react,Non-surviving,2015-03-19 18:31:56,fdcc9808ef9fafa8a61c119ba81d1630f3ee947a
187,thoughtbot/high_voltage,Non-surviving,2015-06-13 14:25:29,cbab60f8b9d82d26a50af630241b7dfb7676fae2
188,node-inspector/node-inspector,Non-surviving,2016-04-08 20:00:49,0faa1356d66fe25027ff12a9e5c7da0fd8ed9276
189,facebook/facebook-android-sdk,Surviving,2010-06-25 20:04:10,5d44d0ce3df029356796bfce4e5356f1db76410a
190,resque/resque,Non-surviving,2013-03-21 20:47:07,416dbbeeb470a3e3788a2f3fafbb3a1cf6df2d5d
191,simplepie/simplepie,Non-surviving,2010-08-08 10:47:46,e9ca05f2b8f7a203ff1fcabf58ef5891a17542a3
192,facebook/php-webdriver,Surviving,2015-06-01 07:35:53,fe1bbbc5dde804d08a8593f1d9d0d3b05f5c84f5
193,OpenKinect/libfreenect,Surviving,2012-03-29 15:55:04,9ab2c20a9b21367b39914a9fa9a04c4ab7ee4c5f
194,tj/luna,Non-surviving,2014-02-05 05:48:02,56d2bb2eaa43472a3d777727d1d671fc0e075c40
195,stleary/JSON-java,Non-surviving,2015-02-06 15:02:41,48302592cfa8637965005da48ab67661aa14b6d7
196,WordPress-Coding-Standards/WordPress-Coding-Standards,Surviving,2013-03-28 11:08:32,16c8066a324a66af8693f10dad9bbc1e72d47c22
197,DavyJonesLocker/client_side_validations,Non-surviving,2013-09-22 04:07:05,659846af18ca1dcaf9070aea1053a82b61c39430
198,schacon/ruby-git,Non-surviving,2009-08-10 12:08:42,94f389bf5d9af4511597d035e69d1be9510b50c7
199,scribejava/scribejava,Surviving,2015-08-22 14:01:09,0311a435fa492cbaa87f4e1c63395f33770d7d38
200,dropwizard/metrics,Non-surviving,2014-09-08 11:51:21,6b6aefb754d545054afe8a58587501dca3425fc9
201,VerbalExpressions/JSVerbalExpressions,Surviving,2013-12-27 02:18:10,db1cb79cf0d6c2dd7f5f4dc1b3c4a961052dcf3c
202,docker/kitematic,Non-surviving,2016-02-11 16:59:30,60c8ad982d5f575c73420eac7917c61197903192
203,reflux/refluxjs,Non-surviving,2015-11-17 10:12:28,7ea4bfd979dfb9e6a2cd5bebab3f074f53dc9aba
204,facebook/wangle,Non-surviving,2015-10-22 13:51:16,7eea594468a4a87f4a20267966efbc915405498b
205,tenex/rails-assets,Non-surviving,2016-01-20 11:33:38,fc40a5af6cadf470b46881cf87398afc3c9fe51e
206,leafo/scssphp,Surviving,2013-10-07 15:28:57,2b96f4b2924b756729a772c2905aae51d87a28c6
207,blaze/blaze,Non-surviving,2015-10-01 15:24:50,9c2703e26e453c893d6520f61027b98ee9cf4846
208,attr-encrypted/attr_encrypted,Surviving,2015-10-18 01:03:08,b120b3b16627a789fa05cc11dd1f9704d6ba12cc
209,typhoeus/typhoeus,Surviving,2011-11-17 21:53:51,515d20a52d60c0529d2812f905638fd9183fe96b
210,HabitRPG/habitica,Surviving,2015-05-08 13:58:43,211424c4a3f6d86a07c76a5609b57f8a2d4518ee
211,rubber/rubber,Non-surviving,2014-01-10 16:52:48,7b4fe7ac9a89caf2755ff1efc50debc08c74d407
212,newsapps/beeswithmachineguns,Surviving,2013-04-27 13:52:03,6614684ecbd61d951caf229460a4266faaad4a82
213,Grive/grive,Surviving,2012-06-20 12:02:22,113b1107d8172ade8a6141735e8883bd3d64fe50
214,defunkt/jquery-pjax,Non-surviving,2014-09-10 18:46:07,446bc16c8f828ca926cf44ff62d622f1177fa3ab
215,capistrano/capistrano,Surviving,2014-01-18 09:26:56,85b090ab67799cb6b860b513721a7bfa5bd16a30
216,es-shims/es5-shim,Surviving,2012-01-18 19:04:55,b24e68264d692a77d5b0f070abf5d852d13a3691
217,hybridauth/hybridauth,Non-surviving,2015-10-31 14:12:13,3d50f52d9949c60df976240d3c056c2a7314f9ab
218,yusuke/twitter4j,Surviving,2010-02-27 12:38:10,b9339c34bc4cf22f73194e7c458186b06543ac36
219,oneclick/rubyinstaller,Non-surviving,2014-12-31 15:04:33,9d8e5fdbc2dc7d37b18f12be6ee6176d50420841
220,nodejs/node-gyp,Non-surviving,2015-11-06 06:21:48,07371e581242b6a22fcd3a8a40ff8bac326c07a1
221,technoweenie/restful-authentication,Non-surviving,2008-09-05 01:39:55,e0a96da19a77a7accf98bd6291c8ac4d3300aa24
222,AppScale/appscale,Non-surviving,2015-05-06 20:53:27,7dfe4b3646482b77d4b861ff03c680e56e0928f7
223,assaf/vanity,Surviving,2013-09-01 16:04:53,38dd76593557d8f394707e33a1d8f4d15a1a04e9
224,oclint/oclint,Non-surviving,2015-07-11 01:20:29,347ba7e56a2bdbccbcfd010fb0ff040a42d621c7
225,DatabaseCleaner/database_cleaner,Non-surviving,2015-01-02 22:25:58,dc74c6975326a94a21711fb1f1ded2bf5f71273a
226,rest-client/rest-client,Surviving,2011-11-19 13:48:07,b5d5a8528b3d38c16cb9fe62fbb48c418fc92c62
227,ricardochimal/taps,Non-surviving,2011-02-14 07:58:07,f5e01bc5347915b34e8745a5bdda87b237c93427
228,silviomoreto/bootstrap-select,Surviving,2015-02-24 15:19:51,a01ac74db33616095a427764c0aadf91498fedcc
229,MovingBlocks/Terasology,Surviving,2015-09-27 22:07:21,ddb32f10061044a9f08fe598cd36184464d56183
230,teampoltergeist/poltergeist,Non-surviving,2013-07-25 18:39:00,00a13acffa6453d7dfc7873f92fce52b770f1495
231,eyecatchup/SEOstats,Non-surviving,2014-08-27 04:12:20,d01ec6e2d92beeb56c1dc9d5edd2ca6b89ae5d65
232,unbit/uwsgi,Surviving,2012-10-01 13:55:25,e368b2da5ed279058a01c74bbc5955d4c36bf817
233,j4mie/paris,Surviving,2011-01-30 18:57:34,766de4c19c2c9427ed1d10e6324fc93b5500e657
234,errbit/errbit,Surviving,2014-04-30 09:49:11,259b96d8b4600d2ce793b380e3b9b0880104f73d
