repo_name,tfdd_date,status,commits_before_1_months,bug_hits_before_1_months,bug_ratio_before_1_months,refactor_before_1_months,commits_after_1_months,bug_hits_after_1_months,bug_ratio_after_1_months,refactor_after_1_months,commits_before_3_months,bug_hits_before_3_months,bug_ratio_before_3_months,refactor_before_3_months,commits_after_3_months,bug_hits_after_3_months,bug_ratio_after_3_months,refactor_after_3_months,commits_before_6_months,bug_hits_before_6_months,bug_ratio_before_6_months,refactor_before_6_months,commits_after_6_months,bug_hits_after_6_months,bug_ratio_after_6_months,refactor_after_6_months,commits_before_12_months,bug_hits_before_12_months,bug_ratio_before_12_months,refactor_before_12_months,commits_after_12_months,bug_hits_after_12_months,bug_ratio_after_12_months,refactor_after_12_months,commits,bug_fix_hit_rate,refactor_hit_rate
capistrano/capistrano,2014-01-18 09:26:56 UTC,Surviving,70,12,0.17142857142857143,5,22,4,0.18181818181818182,3,188,32,0.1702127659574468,13,99,19,0.19191919191919191,9,324,66,0.20370370370370369,21,160,34,0.2125,17,527,97,0.18406072106261859,36,303,74,0.24422442244224424,26,1643,0.23250152160681681,0.077906269020085211
casperjs/casperjs,2016-01-20 15:38:18 UTC,Non-surviving,13,11,0.84615384615384615,0,28,6,0.21428571428571427,0,110,24,0.21818181818181817,6,85,24,0.28235294117647058,7,130,34,0.26153846153846155,8,146,37,0.25342465753424659,10,182,50,0.27472527472527475,10,191,60,0.31413612565445026,11,2226,0.26909254267744837,0.054357592093441147
chrisbanes/PhotoView,2015-04-29 06:28:50 UTC,Non-surviving,10,2,0.2,0,0,0,0.0,0,13,4,0.30769230769230771,0,0,0,0.0,0,22,4,0.18181818181818182,1,13,4,0.30769230769230771,4,25,5,0.2,1,45,10,0.22222222222222221,6,444,0.19369369369369369,0.12612612612612611
chriso/validator.js,2016-02-21 19:19:20 UTC,Non-surviving,97,12,0.12371134020618557,6,19,0,0.0,1,131,15,0.11450381679389313,10,32,3,0.09375,1,190,23,0.12105263157894737,14,87,13,0.14942528735632185,5,302,31,0.10264900662251655,17,183,19,0.10382513661202186,8,1753,0.14546491728465488,0.059326868225898458
cloudera/hue,2015-03-05 20:41:22 UTC,Surviving,202,32,0.15841584158415842,24,211,33,0.15639810426540285,13,620,103,0.16612903225806452,70,524,96,0.183206106870229,42,1090,168,0.15412844036697249,115,1187,270,0.22746419545071608,115,1909,298,0.15610267155578836,211,2779,608,0.21878373515653113,260,16585,0.20186915887850468,0.093277057582152545
codebrew/backbone-rails,2013-02-02 14:19:20 UTC,Non-surviving,4,1,0.25,0,1,1,1.0,0,16,4,0.25,0,1,1,1.0,0,22,4,0.18181818181818182,0,1,1,1.0,0,38,6,0.15789473684210525,0,17,1,0.058823529411764705,1,261,0.13793103448275862,0.045977011494252873
collectiveidea/awesome_nested_set,2009-11-27 15:13:29 UTC,Surviving,0,0,0.0,0,1,0,0.0,0,16,3,0.1875,1,1,0,0.0,0,34,5,0.14705882352941177,2,1,0,0.0,0,38,6,0.15789473684210525,3,3,0,0.0,0,553,0.20795660036166366,0.15189873417721519
composer/satis,2015-12-15 08:11:50 UTC,Surviving,48,7,0.14583333333333334,10,12,4,0.33333333333333331,1,85,17,0.2,12,36,9,0.25,3,98,18,0.18367346938775511,16,60,12,0.2,5,116,22,0.18965517241379309,20,108,26,0.24074074074074073,13,633,0.1895734597156398,0.10742496050552923
defunkt/jquery-pjax,2014-09-10 18:46:07 UTC,Non-surviving,0,0,0.0,0,4,2,0.5,0,11,2,0.18181818181818182,1,24,6,0.25,1,28,7,0.25,2,51,15,0.29411764705882354,1,39,9,0.23076923076923078,2,89,20,0.2247191011235955,2,508,0.17519685039370078,0.070866141732283464
devopsgroup-io/vagrant-digitalocean,2014-08-31 14:35:34 UTC,Non-surviving,3,0,0.0,0,4,0,0.0,0,31,8,0.25806451612903225,0,8,0,0.0,1,40,8,0.2,0,20,4,0.2,1,68,16,0.23529411764705882,2,47,5,0.10638297872340426,1,296,0.13851351351351351,0.070945945945945943
docker/kitematic,2016-02-11 16:59:30 UTC,Non-surviving,29,10,0.34482758620689657,0,7,0,0.0,0,132,34,0.25757575757575757,6,40,8,0.2,3,256,68,0.265625,14,108,32,0.29629629629629628,7,1231,342,0.27782290820471162,81,145,40,0.27586206896551724,11,2286,0.26902887139107612,0.076990376202974622
dompdf/dompdf,2015-12-06 08:55:18 UTC,Non-surviving,5,0,0.0,0,2,2,1.0,0,40,5,0.125,2,31,8,0.25806451612903225,4,64,8,0.125,2,61,21,0.34426229508196721,6,107,15,0.14018691588785046,6,114,33,0.28947368421052633,11,995,0.28140703517587939,0.11155778894472362
doorkeeper-gem/doorkeeper,2013-08-28 14:19:22 UTC,Non-surviving,8,1,0.125,0,13,0,0.0,0,26,5,0.19230769230769232,2,56,8,0.14285714285714285,3,48,7,0.14583333333333334,8,122,24,0.19672131147540983,9,166,22,0.13253012048192772,17,291,52,0.17869415807560138,48,1928,0.20072614107883818,0.13796680497925312
douban/dpark,2013-08-08 06:43:51 UTC,Surviving,26,5,0.19230769230769232,2,11,3,0.27272727272727271,2,131,28,0.21374045801526717,15,28,9,0.32142857142857145,3,281,81,0.28825622775800713,36,46,13,0.28260869565217389,4,441,118,0.26757369614512472,48,71,18,0.25352112676056338,6,1465,0.30921501706484644,0.12013651877133105
drapergem/draper,2014-12-21 21:37:41 UTC,Non-surviving,1,0,0.0,0,0,0,0.0,0,3,0,0.0,1,9,1,0.1111111111111111,3,10,0,0.0,2,26,2,0.076923076923076927,4,32,7,0.21875,4,28,2,0.071428571428571425,5,1143,0.15485564304461943,0.14085739282589677
dropwizard/dropwizard,2014-03-27 10:40:41 UTC,Surviving,43,9,0.20930232558139536,1,80,10,0.125,4,115,16,0.1391304347826087,2,194,28,0.14432989690721648,10,195,34,0.17435897435897435,7,294,55,0.1870748299319728,19,564,82,0.1453900709219858,71,703,124,0.1763869132290185,57,5086,0.15965395202516713,0.089854502556036178
dropwizard/metrics,2014-09-08 11:51:21 UTC,Non-surviving,50,11,0.22,3,9,3,0.33333333333333331,0,58,11,0.18965517241379309,4,16,5,0.3125,2,157,26,0.16560509554140126,16,21,5,0.23809523809523808,2,253,47,0.1857707509881423,26,32,9,0.28125,3,2540,0.14291338582677166,0.10905511811023622
ecomfe/echarts,2015-03-20 14:22:35 UTC,Surviving,41,7,0.17073170731707318,1,19,4,0.21052631578947367,0,223,43,0.19282511210762332,19,112,10,0.089285714285714288,3,465,79,0.16989247311827957,21,284,34,0.11971830985915492,20,970,138,0.1422680412371134,35,1280,275,0.21484375,93,5256,0.23211567732115676,0.050989345509893452
erikhuda/thor,2013-03-26 17:03:34 UTC,Non-surviving,18,6,0.33333333333333331,3,15,2,0.13333333333333333,0,76,17,0.22368421052631579,9,41,7,0.17073170731707318,3,116,23,0.19827586206896552,12,80,16,0.2,7,171,33,0.19298245614035087,13,151,29,0.19205298013245034,11,1490,0.13422818791946309,0.12147651006711409
errbit/errbit,2014-04-30 09:49:11 UTC,Surviving,19,4,0.21052631578947367,2,16,4,0.25,1,59,15,0.25423728813559321,7,30,6,0.2,1,116,33,0.28448275862068967,12,63,11,0.17460317460317459,3,419,96,0.22911694510739858,46,276,48,0.17391304347826086,11,2761,0.208982252806954,0.080043462513582034
es-shims/es5-shim,2012-01-18 19:04:55 UTC,Surviving,0,0,0.0,0,7,3,0.42857142857142855,0,36,11,0.30555555555555558,4,28,17,0.6071428571428571,2,143,34,0.23776223776223776,21,31,17,0.54838709677419351,2,223,48,0.21524663677130046,25,81,36,0.44444444444444442,5,961,0.25078043704474506,0.1040582726326743
euske/pdfminer,2010-12-25 06:41:35 UTC,Non-surviving,1,0,0.0,0,2,0,0.0,1,34,8,0.23529411764705882,10,20,5,0.25,6,44,12,0.27272727272727271,11,38,6,0.15789473684210525,11,110,21,0.19090909090909092,16,54,12,0.22222222222222221,11,513,0.24756335282651071,0.15594541910331383
expressjs/express,2014-02-19 20:29:39 UTC,Surviving,18,4,0.22222222222222221,3,50,4,0.08,8,70,13,0.18571428571428572,6,177,29,0.16384180790960451,21,147,24,0.16326530612244897,14,470,63,0.13404255319148936,30,299,53,0.17725752508361203,22,734,97,0.13215258855585832,41,5502,0.11232279171210469,0.082515448927662674
eyecatchup/SEOstats,2014-08-27 04:12:20 UTC,Non-surviving,26,7,0.26923076923076922,4,0,0,0.0,0,102,29,0.28431372549019607,17,0,0,0.0,0,106,31,0.29245283018867924,18,1,1,1.0,0,142,39,0.27464788732394368,21,12,2,0.16666666666666666,2,270,0.22962962962962963,0.1
