repo_name,commits,author_emails,start_time,end_time,bug_fix_hit_rate
gaearon/react-hot-loader,1788,229,2014-07-13 02:28:37 UTC,2019-09-17 04:10:05 UTC,0.232662192393736
geokit/geokit,661,105,2008-12-01 06:24:01 UTC,2018-10-28 05:39:28 UTC,0.14977307110438728
geokit/geokit-rails,334,49,2008-12-19 02:22:38 UTC,2019-01-30 19:54:41 UTC,0.1437125748502994
getpelican/pelican,3156,400,2010-08-14 03:45:16 UTC,2019-08-26 11:18:23 UTC,0.24397972116603295
giakki/uncss,579,40,2013-04-18 16:33:09 UTC,2018-03-06 22:03:28 UTC,0.19170984455958548
github/github-services,3456,549,2008-04-28 23:45:10 UTC,2019-01-31 15:54:42 UTC,0.1267361111111111
github/markup,654,101,2009-10-31 01:02:53 UTC,2019-09-05 00:39:10 UTC,0.12996941896024464
gollum/gollum,1943,185,2010-03-29 17:56:11 UTC,2019-08-12 14:03:05 UTC,0.25476067936181163
haml/haml,5294,172,2006-06-30 15:14:44 UTC,2019-08-06 12:01:09 UTC,0.14922553834529656
hashrocket/decent_exposure,394,62,2010-01-12 02:44:18 UTC,2018-08-15 12:19:52 UTC,0.13959390862944163
hexchat/hexchat,3408,156,2010-03-29 21:23:34 UTC,2019-07-17 10:55:07 UTC,0.22036384976525822
igrigorik/em-websocket,349,39,2009-12-20 23:35:08 UTC,2018-04-07 00:51:22 UTC,0.16905444126074498
insoshi/insoshi,1320,17,2008-02-18 23:18:20 UTC,2010-02-24 20:12:10 UTC,0.15909090909090909
jacomyal/sigma.js,824,73,2012-01-28 14:53:15 UTC,2018-09-18 07:17:50 UTC,0.25485436893203883
janl/mustache.js,753,113,2009-10-04 23:41:35 UTC,2019-09-13 11:15:33 UTC,0.19521912350597609
jerryscript-project/jerryscript,3336,121,2014-07-01 11:51:35 UTC,2019-09-17 15:31:46 UTC,0.32763788968824942
joemccann/dillinger,1452,107,2011-11-25 19:20:50 UTC,2019-07-26 15:12:35 UTC,0.13705234159779614
joestump/python-oauth2,352,41,2007-09-18 04:12:05 UTC,2018-02-12 06:35:04 UTC,0.19602272727272727
josevalim/rails-footnotes,447,71,2007-08-28 19:08:22 UTC,2016-07-20 21:17:17 UTC,0.22371364653243847
jquery-validation/jquery-validation,841,227,2009-08-01 11:54:55 UTC,2019-06-15 06:50:18 UTC,0.33531510107015455
junit-team/junit4,2397,211,2000-12-03 14:36:14 UTC,2019-06-20 17:52:29 UTC,0.21735502711722987
justinwalsh/daux.io,643,78,2013-06-03 12:42:18 UTC,2017-09-19 06:00:40 UTC,0.27682737169517885
jwt/ruby-jwt,578,90,2011-02-23 21:44:49 UTC,2019-09-18 21:24:23 UTC,0.2179930795847751
kneath/kss,183,35,2011-11-25 18:53:05 UTC,2016-04-22 22:47:06 UTC,0.12021857923497267
kohana/kohana,1269,36,2008-12-05 01:37:18 UTC,2016-07-25 13:37:22 UTC,0.092198581560283682
leafo/scssphp,1146,68,2012-06-11 15:19:17 UTC,2019-06-18 20:46:17 UTC,0.25305410122164052
less/less.js,2885,274,2010-02-23 18:39:05 UTC,2019-08-25 17:31:22 UTC,0.27729636048526862
lisa-lab/pylearn2,7119,186,2011-02-15 14:14:09 UTC,2017-05-25 15:19:25 UTC,0.21744627054361568
mailboxer/mailboxer,513,81,2011-03-03 09:49:31 UTC,2018-12-04 19:13:40 UTC,0.21052631578947367
maroslaw/rainyday.js,290,23,2013-08-01 20:37:07 UTC,2017-12-04 04:00:52 UTC,0.19655172413793104
maximebf/php-debugbar,550,95,2013-06-07 18:32:10 UTC,2019-09-05 13:46:04 UTC,0.17454545454545456
mikel/mail,1817,248,2008-11-22 03:17:14 UTC,2019-03-19 17:42:57 UTC,0.20418271876719868
mileszs/wicked_pdf,762,161,2009-06-16 20:57:57 UTC,2019-06-04 17:23:19 UTC,0.19553805774278216
minimagick/minimagick,712,101,2008-03-06 01:36:02 UTC,2019-07-25 07:37:20 UTC,0.24859550561797752
mochajs/mocha,3216,494,2011-08-29 03:13:34 UTC,2019-09-10 21:38:55 UTC,0.24533582089552239
mofarrell/p2pvc,196,13,2015-02-07 02:24:59 UTC,2017-03-29 14:39:37 UTC,0.17346938775510204
mojombo/god,813,96,2007-06-15 15:39:14 UTC,2016-02-10 17:40:31 UTC,0.16113161131611317
mongodb/mongo-python-driver,4356,176,2009-01-06 15:10:29 UTC,2019-09-12 23:53:38 UTC,0.19329660238751148
mongodb/mongoid,7321,520,2009-08-26 18:52:32 UTC,2019-09-18 16:12:25 UTC,0.22469607977052317
mongomapper/mongomapper,1639,133,2009-05-22 23:20:23 UTC,2017-01-26 02:58:17 UTC,0.1720561317876754
mustache/mustache,779,75,2009-09-24 07:32:12 UTC,2018-10-13 14:13:23 UTC,0.11938382541720154
newsapps/beeswithmachineguns,249,49,2010-04-14 15:31:00 UTC,2017-12-20 16:56:18 UTC,0.17269076305220885
node-inspector/node-inspector,621,74,2010-07-17 23:21:51 UTC,2018-01-31 01:47:01 UTC,0.27697262479871176
node-nock/nock,1480,238,2011-09-22 10:38:06 UTC,2019-01-02 21:03:30 UTC,0.20540540540540542
nodejs/node-gyp,962,148,2012-02-03 05:51:32 UTC,2019-08-19 10:16:16 UTC,0.19022869022869024
norman/friendly_id,1548,181,2008-01-08 20:46:52 UTC,2019-08-26 22:28:54 UTC,0.165374677002584
numba/numba,14769,170,2012-03-08 11:15:08 UTC,2019-09-19 00:21:13 UTC,0.2511341323041506
oneclick/rubyinstaller,924,35,2008-05-18 19:59:52 UTC,2017-08-08 11:12:38 UTC,0.10930735930735931
pallets/click,1324,211,2014-04-24 09:51:55 UTC,2019-08-26 00:48:08 UTC,0.24622356495468278
paramiko/paramiko,3389,160,2003-11-04 08:34:24 UTC,2019-06-23 22:56:19 UTC,0.14694600177043377
pdfkit/pdfkit,438,83,2010-05-21 13:21:27 UTC,2019-09-06 16:44:12 UTC,0.18493150684931506
petergoldstein/dalli,963,148,2010-08-17 16:58:49 UTC,2019-07-26 14:58:40 UTC,0.19314641744548286
php-amqplib/php-amqplib,992,180,2010-09-15 06:05:38 UTC,2019-09-19 00:01:33 UTC,0.27116935483870969
pixie-lang/pixie,1367,58,2014-09-23 04:23:33 UTC,2017-10-05 16:24:08 UTC,0.18507681053401609
plataformatec/has_scope,153,36,2009-12-04 12:42:29 UTC,2019-08-22 19:20:07 UTC,0.098039215686274508
plataformatec/responders,357,72,2009-12-02 13:57:48 UTC,2019-08-21 18:49:43 UTC,0.12324929971988796
pockethub/PocketHub,3434,145,2011-10-12 22:36:58 UTC,2019-03-18 19:05:34 UTC,0.110658124635993
postrank-labs/goliath,778,90,2011-01-01 03:00:22 UTC,2017-10-26 00:47:21 UTC,0.11439588688946016
prolificinteractive/material-calendarview,553,51,2014-12-20 20:38:39 UTC,2019-01-23 01:58:53 UTC,0.15913200723327306
propelorm/Propel2,4255,225,2005-04-08 00:38:22 UTC,2018-02-19 13:36:42 UTC,0.37109283196239717
pypa/virtualenv,1751,187,2007-09-14 18:10:05 UTC,2019-09-03 17:15:07 UTC,0.1856082238720731
python-visualization/folium,1396,114,2013-05-09 04:21:35 UTC,2019-07-29 08:13:24 UTC,0.22564469914040114
react-bootstrap/react-bootstrap,3341,339,2013-12-27 19:07:25 UTC,2019-09-17 16:06:48 UTC,0.23196647710266388
reactphp/react,929,38,2012-04-14 18:55:53 UTC,2019-09-12 06:32:10 UTC,0.15715823466092574
redis-store/redis-store,634,81,2009-04-11 10:54:41 UTC,2019-09-18 16:09:14 UTC,0.11829652996845426
redis/hiredis,753,120,2010-05-18 15:11:09 UTC,2019-09-16 14:43:53 UTC,0.2549800796812749
redis/redis-rb,1679,175,2009-02-26 00:55:47 UTC,2019-09-17 15:12:40 UTC,0.16676593210244192
reflux/refluxjs,579,70,2014-07-01 17:34:34 UTC,2018-04-22 04:37:16 UTC,0.21588946459412781
remiprev/her,912,89,2012-04-07 11:01:41 UTC,2019-02-15 03:16:42 UTC,0.13267543859649122
resque/resque,1666,264,2009-08-12 00:24:28 UTC,2019-02-27 17:26:33 UTC,0.22569027611044418
rest-client/rest-client,985,113,2008-03-08 01:07:17 UTC,2019-08-25 21:41:17 UTC,0.18984771573604062
restify/node-restify,1652,232,2011-04-25 21:18:47 UTC,2019-07-31 22:09:56 UTC,0.19794188861985473
ricardochimal/taps,405,18,2008-11-20 03:50:11 UTC,2012-06-20 17:24:16 UTC,0.083950617283950618
roidrage/lograge,425,72,2012-03-10 06:25:36 UTC,2019-06-13 11:53:31 UTC,0.11294117647058824
s3tools/s3cmd,1654,182,2007-01-10 12:00:50 UTC,2019-05-21 23:04:04 UTC,0.30411124546553808
savonrb/savon,1530,116,2009-07-02 13:21:57 UTC,2019-09-03 19:27:00 UTC,0.15098039215686274
schacon/ruby-git,379,64,2007-11-07 20:54:26 UTC,2018-10-02 14:03:44 UTC,0.10026385224274406
scottjehl/picturefill,800,83,2012-02-21 08:44:16 UTC,2017-03-20 17:12:54 UTC,0.20875
scribejava/scribejava,1134,139,2010-09-05 20:01:30 UTC,2019-08-22 11:18:32 UTC,0.10670194003527336
seajs/seajs,2520,46,2010-12-29 15:17:18 UTC,2018-09-04 11:01:10 UTC,0.12738095238095237
senchalabs/connect,3556,153,2010-05-26 19:14:18 UTC,2019-05-08 03:59:00 UTC,0.13357705286839144
showdownjs/showdown,761,58,2008-11-13 21:40:18 UTC,2019-03-18 03:33:16 UTC,0.22733245729303547
silexphp/Pimple,253,41,2009-06-15 16:10:07 UTC,2018-04-20 06:17:25 UTC,0.25691699604743085
silviomoreto/bootstrap-select,1254,147,2012-09-26 20:56:59 UTC,2018-10-16 20:09:56 UTC,0.27113237639553428
simplepie/simplepie,1476,78,2006-03-07 05:05:15 UTC,2019-09-17 00:11:52 UTC,0.27710027100271
sinatra/sinatra,4094,462,2007-09-08 23:51:24 UTC,2019-09-10 01:10:06 UTC,0.19174401563263313
